               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  47,            0.029832,             0.03341,           0.0073094,             0.78008,             0.84361,             0.86315,             0.68306,            0.021916,            0.017448,            0.003625,             0.00793,             0.00793,             0.00793
                  48,            0.030086,            0.033382,           0.0071597,             0.79437,                0.84,             0.86196,             0.60725,            0.024137,            0.017954,           0.0032735,            0.007885,            0.007885,            0.007885
                  49,            0.030693,            0.033055,           0.0073251,             0.79294,             0.85111,             0.88504,              0.6985,            0.020901,            0.017693,           0.0038139,             0.00784,             0.00784,             0.00784
                  50,            0.029003,            0.032233,           0.0075576,             0.82212,             0.88768,              0.9045,              0.7277,            0.019883,            0.016979,           0.0032079,            0.007795,            0.007795,            0.007795
                  51,            0.029578,            0.032478,           0.0068618,             0.81411,             0.87741,             0.90953,             0.72761,            0.020602,            0.017136,            0.003301,             0.00775,             0.00775,             0.00775
                  52,            0.027952,            0.031588,           0.0069078,             0.81065,             0.89333,             0.89306,             0.72828,            0.020077,            0.016963,           0.0035061,            0.007705,            0.007705,            0.007705
                  53,             0.02886,            0.031034,           0.0070471,             0.81514,              0.8838,             0.88784,             0.69422,            0.022034,            0.017492,           0.0031611,             0.00766,             0.00766,             0.00766
                  54,            0.029456,            0.032127,           0.0065984,             0.85264,             0.90907,             0.92475,             0.73501,            0.021906,            0.016839,            0.002668,            0.007615,            0.007615,            0.007615
                  55,            0.029923,             0.03145,           0.0068454,              0.8718,             0.92361,             0.93655,             0.75526,            0.020405,            0.016675,           0.0027059,             0.00757,             0.00757,             0.00757
                  56,            0.029831,             0.03254,           0.0069104,             0.89638,             0.92618,             0.94421,              0.7659,            0.019386,            0.016521,           0.0026246,            0.007525,            0.007525,            0.007525
